Parnitha Olympic Mountain Bike Venue	/m/03qfbt	2004 Summer Olympics		
Olympic Stadium	/m/057lk3	1988 Summer Olympics		
Ricoh Arena	/m/081gzk	2012 Summer Olympics	Football at the 2012 Summer Olympics – Women's tournament,Football at the 2012 Summer Olympics – Men's tournament	
State Sports Centre	/m/0gjnpw	2000 Summer Olympics		
Olympisch Stadion	/m/068t0q			
Peace and Friendship Stadium	/m/05t0zpq	2004 Summer Olympics	Volleyball at the 2004 Summer Olympics - Women's Volleyball,Volleyball at the 2004 Summer Olympics - Men's Volleyball	
Estadio Sarriá	/m/09bm68			
Sydney Baseball Stadium	/m/0gjntp	2000 Summer Olympics		
Vancouver Olympic Centre	/m/06l3m97	2010 Winter Olympics	Curling at the 2010 Winter Olympics – Women's tournament,Curling at the 2010 Winter Olympics – Men's tournament	
Clark Atlanta Stadium	/m/0g2p_m	1996 Summer Olympics		
Earls Court	/m/01zrvj	2012 Summer Olympics	Volleyball at the 2012 Summer Olympics – Women's volleyball,Volleyball at the 2012 Summer Olympics – Men's volleyball	
Wembley Arena	/m/02trgc	2012 Summer Olympics	Badminton at the 2012 Summer Olympics – Mixed doubles,Badminton at the 2012 Summer Olympics – Women's singles,Badminton at the 2012 Summer Olympics – Men's doubles,Badminton at the 2012 Summer Olympics – Women's doubles,Gymnastics at the 2012 Summer Olympics – Women's rhythmic group all-around,Gymnastics at the 2012 Summer Olympics – Women's rhythmic individual all-around,Badminton at the 2012 Summer Olympics – Men's singles	
Beijing Shooting Range CTF	/m/04dst2_	2008 Summer Olympics		
Mitsuzawa Stadium	/m/0dys84			
CSKA Universal Sports Hall	/m/0cmfnn			
Stockholms Olympiastadion	/m/06qq5y	1912 Summer Olympics		
Lord's Cricket Ground	/m/021p_v	2012 Summer Olympics	Archery at the 2012 Summer Olympics – Men's individual,Archery at the 2012 Summer Olympics – Men's team,Archery at the 2012 Summer Olympics – Women's team,Archery at the 2012 Summer Olympics – Women's individual	
Laoshan Mountain Bike Course	/m/0dhv0m	2008 Summer Olympics		
Utah Olympic Park bobsleigh/luge/skeleton track	/m/03mc8qd	2002 Winter Olympics	Skeleton at the 2002 Winter Olympics – Men's,Luge at the 2002 Winter Olympics – Doubles,Skeleton at the 2002 Winter Olympics – Women's,Luge at the 2002 Winter Olympics – Men's singles	
Pavelló de la Vall d'Hebron	/m/062zkc1	1992 Summer Olympics	Volleyball at the 1992 Summer Olympics - Women's volleyball,Volleyball at the 1992 Summer Olympics - Men's volleyball	
Olympic Stadium	/m/0261rg5	1980 Summer Olympics		
Canberra Stadium	/m/02g2dk	2000 Summer Olympics		
Hong Kong Sports Institute	/m/0dgtw2		Equestrian at the 2008 Summer Olympics - Team jumping,Equestrian at the 2008 Summer Olympics - Team eventing,Equestrian at the 2008 Summer Olympics - Individual eventing,Equestrian at the 2008 Summer Olympics - Dressage, Individual,Equestrian at the 2008 Summer Olympics - Team dressage	
Asim Ferhatović Hase Stadium	/m/0332hw	1984 Winter Olympics		
Jangchung Gymnasium	/m/03cjlq9			
Ryde Aquatic Leisure Centre	/m/04f990z	2000 Summer Olympics		
McDonald's Olympic Swim Stadium	/m/04jltjg			
The Mall	/m/01dmcq	2012 Summer Olympics	Athletics at the 2012 Summer Olympics - Women's 20 km Walk,Athletics at the 2012 Summer Olympics - Men's 50 km walk,Athletics at the 2012 Summer Olympics – Men's 20 kilometres walk,Athletics at the 2012 Summer Olympics – Men's marathon,Cycling at the 2012 Summer Olympics – Women's road race,Athletics at the 2012 Summer Olympics – Women's marathon,Cycling at the 2012 Summer Olympics – Men's road race	
Schwalbach Friedrich Ebert Schule	/m/04f9911	2000 Summer Olympics		
Beijing Institute of Technology Gymnasium	/m/03y89bx	2008 Summer Olympics	Volleyball at the 2008 Summer Olympics - Women's volleyball,Volleyball at the 2008 Summer Olympics - Men's volleyball	
Cesana Pariol	/m/0bkmxp		Luge at the 2002 Winter Olympics – Women's singles	
Hindmarsh Stadium	/m/087b9k	2000 Summer Olympics		
Vikingskipet Olympic Arena	/m/07rwt6			
