Ski jumping at the 2002 Winter Olympics - Normal Hill	/m/06twz_v	Men's Individual Normal Hill		/m/07rpnvs,/m/06twz_s,/m/06zc_zj	2002 Winter Olympics
Swimming	/m/06z6r			/m/0kh7bx1	
Weightlifting at the 1972 Summer Olympics - Men's Light Heavyweight 75-82.5 kg	/m/07ky2r8	Men's Weightlifting, Light Heavyweight 75-82.5kg		/m/07mf8jq,/m/07n6s7f,/m/07ky2rj	1972 Summer Olympics
Gymnastics at the 1984 Summer Olympics – Men's rings	/m/07k4rl4	Men's Rings		/m/07cy9q5,/m/07gz3td,/m/07j4st1	1984 Summer Olympics
Athletics at the 1900 Summer Olympics - Men's standing long jump	/m/072szd	Standing Long Jump		/m/07npg2d,/m/07nncw7,/m/07npg24	1900 Summer Olympics
Archery at the 1972 Summer Olympics – Women's individual	/m/0ds1cqt	Women's Archery, individual		/m/07gl9mt,/m/07mf8fg,/m/07dtlll	1972 Summer Olympics
Sailing at the 1908 Summer Olympics - 6 metre class	/m/0d0lqp				1908 Summer Olympics
Figure Skating at the 1956 Winter Olympics -Women Singles	/m/07r8k3c	Women's Singles		/m/07rbhtp,/m/07rbht6,/m/07r8k42	1956 Winter Olympics
Shooting at the 1972 Summer Olympics - Men's 50 metre pistol	/m/07n6s4z	Men's 50m pistol		/m/07n6s55,/m/07n730j,/m/07n733s	1972 Summer Olympics
Gymnastics at the 1976 Summer Olympics – Men's parallel bars	/m/07k4z_s	Men's Parallel bars		/m/07yks3j,/m/07ygp2y,/m/07yks38	1976 Summer Olympics
Fencing at the 1932 Summer Olympics - Men's Sabre, Individual	/m/07w2c43	Men's Sabre individual		/m/07w3ykb,/m/07w3ykl,/m/07w2c4c	1932 Summer Olympics
Athletics at the 1972 Summer Olympics - Men's 10000 metres	/m/07n6p6z	Men's Athletics, 10000m		/m/08dvmf_,/m/07n6sq6,/m/07n6spz	1972 Summer Olympics
Biathlon at the 1992 Winter Olympics - Men's 10km Sprint	/m/07tf_wv	Men's 10 km Sprint		/m/07tf_x2,/m/07tg1bf,/m/07vd3mk	1992 Winter Olympics
Athletics at the 1968 Summer Olympics - Men's 400 metre hurdles	/m/07mhmc6	Men's Athletics, 400m hurdles		/m/07nd_81,/m/07nd_8f,/m/07mhmcg	1968 Summer Olympics
Wrestling at the 1928 Summer Olympics - Men's Greco-Roman Lightweight	/m/07n66jg	Men's Greco-Roman Wrestling, Lightweight 62-67.5 kg		/m/07ngp45,/m/07n66jx,/m/07ndsnh	1928 Summer Olympics
Gymnastics at the 1992 Summer Olympics – Men's artistic team all-around	/m/08059lm				
Equestrian at the 1936 Summer Olympics - Dressage, Individual	/m/07mx9x7	Individual Dressage		/m/07ngsvj,/m/07mx9xh,/m/07mxlj6	1936 Summer Olympics
Cross-Country Skiing at the 1968 Winter Olympics - Men's 30 km	/m/07t4y1r	Men's Cross-country, 30km		/m/07t50tq,/m/07t4y1_,/m/07t4y3h	1968 Winter Olympics
Cross Country Skiing at the 1976 Winter Olympics - Women's 5km	/m/07tl71x	Women's 5km		/m/07tl82f,/m/07tl824,/m/07tl724	1976 Winter Olympics
Gymnastics at the 1900 Summer Olympics - Men's artistic individual all-around	/m/07nnd0l	Men's Gymnastics, individual all-round		/m/07nndwj,/m/07nndw8,/m/07nnd0t	1900 Summer Olympics
Fencing at the 1976 Summer Olympics - Women's Foil, Individual	/m/07ygp1y	Women's Foil individual		/m/07yjfng,/m/07yks18,/m/07ygp25	1976 Summer Olympics
Fencing at the 1928 Summer Olympics - Women's Foil, Individual	/m/07n66dk	Women's Foil individual		/m/07n66ds,/m/07ngnsz,/m/07n66f8	1928 Summer Olympics
Weightlifting at the 1976 Summer Olympics - Men's Heavyweight  90-110 kg	/m/07ygpk4	Men's Weightlifting, Heavyweight 90-110 kg		/m/07yks78,/m/07yjb6v,/m/07ygpkd	1976 Summer Olympics
Figure Skating at the 1988 Winter Olympics -Women's Singles	/m/07tfqzl	Women's Singles		/m/07th7tp,/m/07th9wn,/m/07tfq_d	1988 Winter Olympics
Wrestling at the 1952 Summer Olympics - Men's Freestyle Light Heavyweight	/m/07v5f7x	Men's Freestyle Wrestling, Light Heavyweight 79-87kg		/m/07ygmht,/m/07v5f84,/m/07vl4kt	1952 Summer Olympics
Fencing at the 1936 Summer Olympics – Men's foil	/m/0bwfqjc				
Snowboarding at the 2006 Winter Olympics - Men's Halfpipe	/m/0bf3h0	Men's Halfpipe		/m/06kp265,/m/06m4500,/m/066b3xd	2006 Winter Olympics
Swimming at the 1968 Summer Olympics – Men's 200 metre breaststroke	/m/09gn8hn	Men's 200m breaststroke		/m/07jxmtl,/m/07nd_lb,/m/07hrb0n	1968 Summer Olympics
Cross-country skiing at the 2010 Winter Olympics – Women's 15 kilometre pursuit	/m/09g8x06	Women's 15 km Pursuit	Whistler Olympic Park	/m/0b56srp,/m/0b56syq,/m/0b56sr4	2010 Winter Olympics
